Date,Open,High,Low,Close,Adj Close,Volume
2019-03-20,52.750000,53.500000,49.500000,49.799999,49.084335,2350800
2019-03-21,49.990002,50.000000,48.200001,48.980000,48.276119,1764700
2019-03-22,48.799999,49.950001,48.160000,48.599998,47.901581,844700
2019-03-25,48.599998,49.400002,48.000000,49.150002,48.443680,440900
2019-03-26,49.000000,49.750000,48.180000,48.849998,48.147987,504700
2019-03-27,49.000000,50.779999,49.000000,50.099998,49.380024,1788600
2019-03-28,50.900002,51.000000,49.915001,50.849998,50.119247,585400
2019-03-29,49.520000,52.480000,49.180000,51.630001,50.888039,1769000
2019-04-01,52.299999,54.389999,51.250000,53.500000,52.731167,19663400
2019-04-02,55.119999,57.389999,54.299999,56.250000,55.441647,17414200
2019-04-03,57.080002,57.200001,55.509998,56.880001,56.062592,15066200
2019-04-04,57.200001,60.520000,57.099998,59.709999,58.851921,13309200
2019-04-05,58.389999,58.980000,56.270000,57.240002,56.417419,17000800
2019-04-08,56.500000,58.389999,56.270000,57.150002,56.328712,10764600
2019-04-09,56.799999,57.200001,56.080002,56.270000,55.461357,9179900
2019-04-10,55.990002,56.410000,55.099998,55.709999,54.909405,9081900
2019-04-11,55.700001,56.209999,54.830002,54.889999,54.101189,7346100
2019-04-12,55.930000,58.330002,55.930000,58.299999,57.462185,9281700
2019-04-15,58.570000,58.849998,57.290001,57.779999,56.949657,5727300
2019-04-16,58.709999,58.990002,57.840000,58.500000,57.659313,6681600
2019-04-17,58.950001,59.049999,58.200001,58.320000,57.481899,6420700
2019-04-18,58.360001,58.610001,57.549999,57.770000,56.939804,5178800
2019-04-22,57.480000,58.410000,57.259998,57.889999,57.058079,4401700
2019-04-23,57.290001,57.840000,57.000000,57.639999,56.811668,5687200
2019-04-24,57.490002,57.889999,55.865002,55.980000,55.175526,5431300
2019-04-25,55.759998,55.980000,54.820000,55.330002,54.534870,6260500
2019-04-26,55.299999,55.599998,54.950001,55.250000,54.456017,4009800
2019-04-29,55.049999,55.685001,54.799999,55.500000,54.702423,5935200
