Date,Open,High,Low,Close,Adj Close,Volume
1992-06-17,8.500000,8.750000,7.750000,7.937500,4.256425,902000
1992-06-18,7.937500,7.937500,7.500000,7.812500,4.189394,421400
1992-06-19,7.812500,7.937500,7.750000,7.875000,4.222910,453400
1992-06-22,7.875000,7.875000,7.562500,7.625000,4.088847,597200
1992-06-23,7.625000,7.750000,7.625000,7.687500,4.122364,853800
1992-06-24,7.687500,7.750000,7.500000,7.562500,4.055333,357600
1992-06-25,7.687500,7.812500,7.687500,7.687500,4.122364,785000
1992-06-26,7.687500,7.750000,7.625000,7.750000,4.155878,435000
1992-06-29,7.687500,7.812500,7.625000,7.812500,4.189394,386600
1992-06-30,7.812500,8.062500,7.812500,8.062500,4.323454,884400
1992-07-01,7.875000,7.937500,7.812500,7.875000,4.222910,552600
1992-07-02,7.937500,8.062500,7.687500,8.062500,4.323454,1788200
1992-07-06,7.937500,7.937500,7.687500,7.750000,4.155878,580400
1992-07-07,7.812500,7.812500,7.187500,7.312500,3.921272,1147000
1992-07-08,7.375000,7.375000,6.812500,6.937500,3.720183,1192800
1992-07-09,6.937500,7.312500,6.937500,7.312500,3.921272,2136600
1992-07-10,7.187500,7.250000,7.062500,7.125000,3.820729,866200
1992-07-13,7.125000,7.250000,7.125000,7.187500,3.854243,846600
1992-07-14,7.125000,7.250000,7.125000,7.250000,3.887757,990000
1992-07-15,7.250000,7.375000,7.250000,7.312500,3.921272,1080400
1992-07-16,7.250000,7.312500,7.125000,7.187500,3.854243,2689000
1992-07-17,7.062500,7.312500,7.062500,7.312500,3.921272,840400
1992-07-20,6.937500,7.187500,6.875000,7.125000,3.820729,1228200
1992-07-21,7.000000,7.250000,7.000000,7.125000,3.820729,1279600
1992-07-22,6.937500,7.562500,6.937500,7.375000,3.954789,2743000
1992-07-23,7.312500,7.500000,7.312500,7.312500,3.921272,2203800
1992-07-24,7.250000,7.500000,7.250000,7.437500,3.988304,1404000
1992-07-27,7.437500,7.562500,7.312500,7.500000,4.021818,1308000
1992-07-28,7.437500,7.562500,7.375000,7.500000,4.021818,1134400
1992-07-29,7.500000,7.562500,7.250000,7.375000,3.954789,1697600
1992-07-30,7.437500,7.500000,7.250000,7.500000,4.021818,912800
1992-07-31,7.437500,7.562500,7.437500,7.562500,4.055333,1303000
1992-08-03,7.500000,7.687500,7.437500,7.687500,4.122364,1616800
1992-08-04,7.687500,7.812500,7.687500,7.750000,4.155878,1457000
1992-08-05,7.750000,7.812500,7.750000,7.750000,4.155878,492000
1992-08-06,7.687500,7.750000,7.500000,7.625000,4.088847,1277800
1992-08-07,7.437500,7.562500,7.437500,7.500000,4.021818,306200
1992-08-10,7.312500,7.500000,7.250000,7.437500,3.988304,593000
1992-08-11,7.437500,7.437500,7.250000,7.250000,3.887757,1804800
