#  	Company                                     	Symbol 	Weight   	Price  	Change
1  	SP500                              	%5EGSPC     	0 	0 	0 (0%)
2  	DOWJONES Industry Index             	%5EDJI    	0 	0 	0 (0%)
3  	Nasdaq 100                      	%5EIXIC    	0 	0 	0 (0%)
