                                                                                      support  length  time
((18, (2, 3)), (23, (3,)), (26, (3,)))                                                     42       4     2
((3, (1,)), (9, (2,)))                                                                     42       2     1
((1, (3,)), (4, (2,)), (26, (2, 3)))                                                       42       4     2
((2, (1,)), (3, (1,)))                                                                     42       2     1
((7, (4,)), (18, (4,)))                                                                    42       2     1
((7, (3,)), (15, (5,)), (20, (4,)))                                                        42       3     1
((11, (2, 3, 2)),)                                                                         41       3     3
((8, (3,)), (10, (2,)), (24, (2,)), (25, (3,)))                                            41       4     1
((6, (5,)), (11, (4,)))                                                                    41       2     1
((6, (3,)), (10, (4,)), (15, (4,)))                                                        41       3     1
((8, (5,)), (16, (4,)))                                                                    41       2     1
((2, (2,)), (4, (4,)))                                                                     41       2     1
((4, (4,)), (14, (3,)), (15, (4,)), (22, (3,)))                                            40       4     1
((4, (3,)), (19, (3, 3)), (26, (2,)))                                                      40       4     2
((9, (1,)),)                                                                               40       1     1
((7, (3,)), (17, (3,)), (24, (2, 3)))                                                      40       4     2
((8, (4,)), (21, (3,)), (23, (3,)), (26, (3,)))                                            40       4     1
((24, (1, 3)),)                                                                            40       2     2
((2, (4,)), (4, (2,)), (13, (3,)), (27, (3,)))                                             40       4     1
((11, (4,)), (16, (3,)), (20, (5,)))                                                       40       3     1
((14, (2,)), (22, (3,)), (24, (2,)))                                                       40       3     1
((7, (2,)), (16, (3,)), (17, (4,)), (23, (3,)))                                            39       4     1
((12, (3, 3)), (20, (3, 3)))                                                               39       4     2
((0, (3,)), (3, (3,)), (5, (4, 3)))                                                        39       4     2
((4, (3, 3)), (18, (2,)), (26, (3,)))                                                      39       4     2
((1, (4,)), (3, (3,)), (15, (4,)), (16, (2,)))                                             39       4     1
((5, (2,)), (6, (2,)), (13, (2,)), (16, (2,)))                                             39       4     1
((15, (1,)),)                                                                              39       1     1
((9, (3,)), (10, (2,)), (12, (4,)))                                                        39       3     1
((0, (2,)), (19, (2,)), (26, (1,)))                                                        38       3     1
((5, (1,)),)                                                                               38       1     1
((22, (1,)), (23, (1,)))                                                                   38       2     1
((1, (2,)), (8, (3,)), (23, (3,)), (26, (2,)))                                             38       4     1
((2, (3, 4)), (6, (3,)), (27, (2,)))                                                       38       4     2
((2, (2,)), (7, (2,)), (11, (2,)), (12, (2,)))                                             38       4     1
((13, (2,)), (14, (2,)), (22, (2,)), (23, (2,)))                                           37       4     1
((4, (5,)),)                                                                               37       1     1
((3, (3,)), (7, (3,)), (15, (3,)), (16, (3,)))                                             37       4     1
((5, (4, 3)), (6, (4,)), (10, (4,)))                                                       37       4     2
((6, (3,)), (12, (3,)), (19, (4, 3)))                                                      37       4     2
((2, (1,)), (11, (1,)))                                                                    37       2     1
((15, (5,)), (19, (5,)))                                                                   36       2     1
((1, (3, 4)), (15, (3,)), (16, (2,)))                                                      36       4     2
((10, (3,)), (14, (4,)), (25, (3,)), (26, (2,)))                                           35       4     1
((23, (2, 5)),)                                                                            35       2     2
((5, (2,)), (8, (2,)), (24, (1,)))                                                         35       3     1
((13, (3,)), (18, (3,)), (20, (3,)), (22, (2,)))                                           35       4     1
((1, (3,)), (8, (3,)), (9, (4,)), (26, (3,)))                                              35       4     1
((5, (2,)), (12, (2,)), (21, (2,)), (22, (2,)))                                            35       4     1
((7, (3,)), (15, (5,)), (23, (4,)))                                                        35       3     1
((9, (4,)), (14, (5,)), (20, (5,)))                                                        34       3     1
((3, (3,)), (19, (4, 3)), (24, (2,)))                                                      34       4     2
((10, (3,)), (15, (4,)), (22, (2,)), (25, (3,)))                                           34       4     1
((3, (4,)), (7, (4,)), (18, (3,)))                                                         34       3     1
((26, (5,)),)                                                                              34       1     1
((5, (2,)), (11, (2, 4)))                                                                  34       3     2
((6, (2, 3, 3)),)                                                                          34       3     3
((0, (4,)), (2, (3,)), (23, (4,)))                                                         34       3     1
((5, (2, 4)), (25, (2,)))                                                                  34       3     2
((3, (2,)), (8, (2,)), (21, (2,)))                                                         33       3     1
((0, (3, 3)), (3, (3,)), (5, (4,)))                                                        33       4     2
((11, (3, 1)),)                                                                            33       2     2
((1, (2,)), (2, (2,)), (15, (3,)), (27, (2,)))                                             33       4     1
((8, (2,)), (19, (2,)), (25, (3,)))                                                        33       3     1
((14, (5,)), (22, (4,)))                                                                   33       2     1
((17, (1,)),)                                                                              33       1     1
((3, (3, 2)), (16, (2, 2)))                                                                33       4     2
((10, (4,)), (16, (4,)), (17, (4,)), (21, (4,)))                                           33       4     1
((5, (3, 5)),)                                                                             32       2     2
((3, (3,)), (15, (3,)), (18, (3,)), (22, (2,)))                                            32       4     1
((0, (3,)), (3, (2,)), (19, (2,)))                                                         32       3     1
((27, (5,)),)                                                                              32       1     1
((2, (4,)), (9, (3,)), (13, (2,)))                                                         32       3     1
((5, (4, 2)), (17, (3,)))                                                                  32       3     2
((2, (4, 3)), (6, (3,)), (11, (3,)))                                                       32       4     2
((13, (3,)), (16, (3,)), (21, (4,)), (22, (2,)))                                           32       4     1
((4, (3,)), (18, (3,)), (26, (2,)), (27, (2,)))                                            32       4     1
((4, (2,)), (18, (3,)), (22, (2,)), (27, (3,)))                                            32       4     1
((7, (3,)), (9, (4,)), (17, (3, 4)))                                                       32       4     2
((9, (3,)), (17, (2,)), (27, (3,)))                                                        32       3     1
((10, (3,)), (18, (2,)), (19, (3, 4)))                                                     32       4     2
((3, (5,)), (18, (4,)))                                                                    32       2     1
((2, (5,)), (8, (5,)))                                                                     32       2     1
((6, (4,)), (13, (3,)), (23, (4,)), (27, (3,)))                                            32       4     1
((2, (2,)), (19, (4, 3)))                                                                  31       3     2
((7, (2, 1)), (13, (3,)))                                                                  31       3     2
((1, (4,)), (7, (4,)), (8, (4,)))                                                          31       3     1
((5, (3,)), (6, (3, 3)), (13, (4,)))                                                       31       4     2
((2, (3, 3)), (3, (3,)), (16, (2,)))                                                       31       4     2
((10, (2,)), (14, (3,)), (21, (4,)), (22, (3,)))                                           31       4     1
((9, (4,)), (14, (4,)), (20, (5,)), (21, (4,)))                                            31       4     1
((4, (2,)), (6, (4,)), (26, (3,)), (27, (3,)))                                             31       4     1
((0, (3,)), (2, (3,)), (11, (2, 3)))                                                       31       4     2
((2, (2,)), (25, (4,)))                                                                    30       2     1
((15, (5,)), (21, (5,)))                                                                   30       2     1
((10, (4,)), (12, (5,)), (14, (4,)), (27, (4,)))                                           30       4     1
((6, (2,)), (15, (4,)), (18, (2,)))                                                        30       3     1
((3, (4,)), (10, (4,)), (18, (2,)))                                                        30       3     1
((14, (5,)), (22, (3,)))                                                                   30       2     1
((0, (3,)), (15, (3,)), (19, (4, 3)))                                                      29       4     2
((2, (2, 3)), (5, (3,)), (27, (2,)))                                                       29       4     2
((3, (2,)), (5, (2,)), (18, (1,)))                                                         29       3     1
((15, (4,)), (19, (2,)), (22, (3,)), (27, (3,)))                                           29       4     1
((8, (3,)), (18, (3,)), (23, (2,)), (25, (3,)))                                            29       4     1
((0, (2,)), (11, (2,)), (14, (2,)), (23, (2,)))                                            29       4     1
((0, (2,)), (1, (3,)), (15, (3,)), (16, (3,)))                                             28       4     1
((14, (4,)), (21, (3,)), (22, (2,)), (27, (3,)))                                           28       4     1
((0, (2,)), (1, (2,)), (15, (3,)), (23, (2,)))                                             28       4     1
((14, (3,)), (18, (2,)), (22, (2,)), (27, (3,)))                                           28       4     1
((4, (4,)), (8, (4,)), (10, (4,)), (25, (4,)))                                             27       4     1
((1, (4,)), (8, (3,)), (15, (3,)), (25, (3,)))                                             27       4     1
((4, (3,)), (13, (3, 2)), (26, (3,)))                                                      27       4     2
((1, (2,)), (24, (2, 3)), (25, (2,)))                                                      27       4     2
((7, (2,)), (11, (1,)), (22, (2,)))                                                        27       3     1
((3, (3,)), (16, (3,)), (17, (4,)), (19, (4,)))                                            27       4     1
((1, (5, 2)),)                                                                             27       2     2
((3, (3,)), (5, (2,)), (14, (2,)))                                                         27       3     1
((3, (3,)), (17, (2,)), (24, (2,)), (26, (2,)))                                            27       4     1
((0, (2,)), (3, (2,)), (9, (2,)), (20, (2,)))                                              27       4     1
((14, (5,)), (20, (5,)), (22, (3,)))                                                       26       3     1
((5, (4, 5)),)                                                                             26       2     2
((4, (1,)), (20, (1,)))                                                                    26       2     1
((11, (1,)), (14, (2,)), (27, (1,)))                                                       26       3     1
((0, (4,)), (16, (3,)), (24, (3, 3)))                                                      26       4     2
((12, (4,)), (22, (4, 2)), (27, (4,)))                                                     26       4     2
((4, (3, 3)), (10, (2,)), (26, (2,)))                                                      26       4     2
((3, (4,)), (11, (2,)), (27, (2,)))                                                        26       3     1
((0, (2,)), (1, (3,)), (3, (3,)), (16, (3,)))                                              26       4     1
((5, (4, 4)), (14, (3,)), (22, (3,)))                                                      26       4     2
((2, (3,)), (7, (2,)), (12, (4,)), (20, (4,)))                                             26       4     1
((3, (2,)), (10, (2,)), (18, (2,)), (27, (1,)))                                            26       4     1
((3, (3,)), (7, (3,)), (15, (3,)), (17, (4,)))                                             26       4     1
((3, (3,)), (5, (2,)), (14, (3,)), (16, (2,)))                                             25       4     1
((12, (4, 2)), (20, (3,)))                                                                 25       3     2
((0, (4,)), (8, (3,)), (14, (3,)), (25, (3,)))                                             25       4     1
((0, (1,)), (9, (2,)))                                                                     25       2     1
((0, (4,)), (16, (3,)), (17, (4,)), (23, (4,)))                                            25       4     1
((0, (2,)), (15, (3,)), (20, (2,)), (27, (2,)))                                            25       4     1
((4, (4,)), (10, (4,)), (19, (4, 3)))                                                      25       4     2
((0, (4,)), (3, (3,)), (15, (5,)))                                                         25       3     1
((15, (4,)), (24, (4, 3)))                                                                 24       3     2
((23, (4,)), (24, (1,)))                                                                   24       2     1
((2, (1,)), (6, (2,)), (18, (1,)))                                                         24       3     1
((4, (2,)), (10, (3,)), (24, (4,)))                                                        24       3     1
((1, (3,)), (5, (4, 3)), (19, (4,)))                                                       24       4     2
((2, (4,)), (6, (4,)), (20, (4, 2)))                                                       24       4     2
((6, (5,)), (19, (5,)))                                                                    24       2     1
((10, (4,)), (23, (5,)))                                                                   24       2     1
((13, (1,)), (15, (1,)))                                                                   24       2     1
((2, (4,)), (10, (2, 3)), (18, (2,)))                                                      24       4     2
((10, (1,)), (25, (2,)), (27, (2,)))                                                       24       3     1
((0, (3,)), (15, (3,)), (17, (2,)), (22, (2,)))                                            24       4     1
((7, (3,)), (13, (4, 3)), (15, (5,)))                                                      24       4     2
((15, (2,)), (20, (1,)))                                                                   24       2     1
((4, (3,)), (9, (4,)), (16, (4,)), (17, (4,)))                                             24       4     1
((4, (2,)), (5, (2,)), (20, (3,)), (26, (2,)))                                             24       4     1
((8, (2,)), (17, (2,)), (19, (2,)), (22, (2,)))                                            24       4     1
((5, (3,)), (9, (3,)), (17, (4,)), (22, (2,)))                                             24       4     1
((2, (3,)), (4, (4,)), (16, (2,)))                                                         23       3     1
((5, (4, 4)), (12, (4,)), (24, (2,)))                                                      23       4     2
((22, (4, 4)),)                                                                            23       2     2
((5, (3,)), (10, (3,)), (18, (2,)), (20, (4,)), (27, (2,)))                                23       5     1
((7, (3,)), (12, (3,)), (17, (4,)), (27, (4,)))                                            23       4     1
((10, (4,)), (12, (5,)), (14, (4,)), (22, (4,)), (27, (4,)))                               23       5     1
((6, (3,)), (15, (2,)), (24, (2,)))                                                        23       3     1
((2, (4,)), (8, (4,)), (21, (3,)), (23, (4,)))                                             23       4     1
((3, (5,)), (18, (3,)))                                                                    23       2     1
((10, (3,)), (11, (3, 4)), (21, (4,)))                                                     23       4     2
((12, (4,)), (23, (2,)), (26, (3,)))                                                       23       3     1
((4, (1, 1)),)                                                                             22       2     2
((1, (2,)), (18, (1,)), (24, (2,)), (25, (2,)))                                            22       4     1
((6, (3, 1)),)                                                                             22       2     2
((12, (4,)), (19, (3,)), (25, (2, 3)))                                                     22       4     2
((7, (3,)), (11, (2, 2)), (17, (3,)))                                                      22       4     2
((2, (3,)), (3, (4,)), (6, (3,)), (14, (3,)), (25, (3,)))                                  22       5     1
((3, (1,)), (10, (1,)), (15, (2,)), (27, (1,)))                                            22       4     1
((5, (3,)), (8, (4, 3)), (25, (2,)))                                                       22       4     2
((8, (2,)), (19, (1,)), (26, (1,)))                                                        22       3     1
((2, (3,)), (8, (3,)), (9, (4,)), (12, (3,)), (13, (3,)))                                  22       5     1
((12, (3, 2)), (16, (3,)), (21, (3,)))                                                     22       4     2
((13, (1,)), (22, (1,)), (26, (1,)))                                                       22       3     1
((13, (4, 3)), (23, (4,)), (25, (4,)))                                                     22       4     2
((0, (3,)), (3, (3,)), (10, (4,)), (18, (2,)))                                             21       4     1
((4, (4,)), (8, (3,)), (25, (3,)), (26, (2,)))                                             21       4     1
((0, (4,)), (3, (4,)), (19, (3, 3)))                                                       21       4     2
((5, (4, 3, 4)), (10, (3,)))                                                               21       4     3
((0, (4,)), (11, (3, 3)), (16, (2,)))                                                      21       4     2
((0, (4,)), (12, (4,)), (13, (4,)), (21, (3,)))                                            21       4     1
((4, (3, 3)), (10, (4,)), (27, (3,)))                                                      21       4     2
((9, (4,)), (10, (4,)), (15, (5,)), (17, (3,)))                                            21       4     1
((11, (5,)), (20, (5,)))                                                                   21       2     1
((7, (3,)), (19, (3, 4)), (20, (3,)))                                                      21       4     2
((4, (2,)), (17, (4,)), (23, (3,)), (26, (3,)))                                            21       4     1
((7, (3,)), (9, (3,)), (13, (3,)), (15, (4,)), (17, (3,)))                                 21       5     1
((5, (5,)), (10, (5,)))                                                                    21       2     1
((1, (2,)), (3, (2,)), (16, (2,)), (25, (3,)))                                             20       4     1
((0, (4,)), (5, (3,)), (8, (4,)), (16, (2,)))                                              20       4     1
((2, (2,)), (21, (3, 4)), (23, (3,)))                                                      20       4     2
((3, (2, 4)), (16, (2,)), (24, (2,)))                                                      20       4     2
((18, (1, 3)), (25, (3,)))                                                                 20       3     2
((4, (2,)), (10, (2,)), (17, (2,)), (26, (2,)))                                            20       4     1
((4, (1,)), (17, (4,)), (22, (2,)))                                                        20       3     1
((6, (2,)), (16, (1,)), (17, (2,)), (18, (2,)))                                            20       4     1
((1, (4,)), (5, (4, 2)), (20, (4,)))                                                       20       4     2
((9, (5,)), (15, (4,)), (25, (4,)))                                                        20       3     1
((8, (4,)), (16, (4,)), (23, (4,)), (26, (4,)))                                            19       4     1
((8, (1,)), (12, (1,)))                                                                    19       2     1
((2, (3,)), (10, (1,)), (25, (2,)))                                                        19       3     1
((6, (3,)), (12, (2, 4)), (15, (3,)))                                                      19       4     2
((6, (3, 3)), (12, (2,)), (20, (3,)))                                                      19       4     2
((6, (3,)), (12, (3, 3)), (20, (2,)))                                                      19       4     2
((2, (3,)), (4, (2,)), (6, (4,)), (23, (3,)))                                              19       4     1
((2, (4,)), (10, (2,)), (14, (3,)), (22, (3,)), (27, (3,)))                                19       5     1
((8, (4,)), (21, (4,)), (23, (3,)), (26, (4,)))                                            19       4     1
((4, (2,)), (8, (5,)), (25, (3,)))                                                         19       3     1
((19, (1,)), (25, (2,)), (26, (1,)))                                                       19       3     1
((14, (3,)), (18, (2, 3)), (22, (3,)), (25, (2,)))                                         19       5     2
((2, (4,)), (9, (4,)), (10, (4,)), (18, (2,)))                                             19       4     1
((7, (2,)), (13, (4,)), (20, (3, 4)))                                                      18       4     2
((9, (1,)), (12, (1,)))                                                                    18       2     1
((8, (3,)), (19, (2, 3, 4)))                                                               18       4     3
((4, (1,)), (15, (1,)), (25, (1,)))                                                        18       3     1
((8, (2,)), (17, (3,)), (18, (1,)))                                                        18       3     1
((2, (2,)), (4, (2,)), (18, (3,)), (27, (3,)))                                             18       4     1
((12, (2,)), (20, (3, 3)), (27, (2,)))                                                     18       4     2
((10, (3,)), (24, (3, 3)), (25, (2,)))                                                     18       4     2
((0, (4,)), (2, (4,)), (3, (4,)), (18, (3,)), (24, (4,)))                                  18       5     1
((9, (5,)), (14, (4,)), (26, (4,)))                                                        18       3     1
((24, (3, 1)), (26, (3,)))                                                                 18       3     2
((12, (2,)), (16, (1,)), (21, (2,)), (24, (1,)))                                           18       4     1
((13, (2,)), (25, (2,)), (26, (3,)), (27, (2,)))                                           18       4     1
((4, (2,)), (9, (4,)), (17, (4,)), (23, (4,)))                                             18       4     1
((5, (5,)), (6, (5,)), (14, (4,)))                                                         18       3     1
((6, (3, 3)), (12, (3,)), (21, (2,)))                                                      18       4     2
((10, (3, 3)), (14, (3, 3)), (22, (3, 3)), (25, (3, 3)))                                   17       8     2
((20, (4,)), (23, (4,)), (24, (4,)), (25, (3,)))                                           17       4     1
((3, (3,)), (12, (4,)), (23, (2,)), (24, (2,)))                                            17       4     1
((18, (3,)), (25, (2, 2)), (27, (2,)))                                                     17       4     2
((8, (1,)), (18, (1,)), (19, (1,)))                                                        17       3     1
((1, (5,)), (7, (4,)), (23, (4,)))                                                         17       3     1
((13, (4,)), (20, (3, 5)))                                                                 17       3     2
((5, (4, 3)), (6, (3, 3)), (13, (4,)))                                                     16       5     2
((0, (2,)), (5, (3,)), (24, (3, 3)))                                                       16       4     2
((6, (1,)), (7, (1,)), (9, (2,)), (27, (1,)))                                              16       4     1
((11, (5,)), (13, (4, 3)))                                                                 16       3     2
((1, (4, 4)), (5, (4,)), (20, (4,)))                                                       16       4     2
((6, (2,)), (9, (3,)), (13, (2, 3)))                                                       16       4     2
((1, (4,)), (16, (2,)), (24, (3, 3)))                                                      16       4     2
((1, (3,)), (2, (4,)), (8, (4,)), (23, (4,)))                                              16       4     1
((0, (3,)), (11, (2, 4, 3)))                                                               16       4     3
((1, (2,)), (3, (1,)), (26, (1,)))                                                         16       3     1
((9, (2,)), (24, (2, 3, 3)))                                                               16       4     3
((8, (5,)), (25, (4,)), (27, (5,)))                                                        16       3     1
((21, (5,)), (27, (5,)))                                                                   16       2     1
((11, (4, 3)), (18, (3,)), (22, (4,)))                                                     15       4     2
((0, (2,)), (7, (2,)), (13, (2,)), (21, (3,)), (23, (2,)))                                 15       5     1
((6, (3,)), (11, (2, 2)), (15, (2,)))                                                      15       4     2
((0, (5, 3)),)                                                                             15       2     2
((3, (2,)), (16, (1,)), (17, (3,)))                                                        15       3     1
((0, (2, 4)), (1, (2,)), (15, (3,)))                                                       15       4     2
((4, (3,)), (7, (3, 1)), (13, (3,)))                                                       15       4     2
((2, (3,)), (5, (4, 4)), (13, (4,)))                                                       15       4     2
((6, (5,)), (12, (5,)), (27, (4,)))                                                        15       3     1
((6, (4,)), (10, (4,)), (19, (3, 4)))                                                      15       4     2
((13, (4, 2)), (25, (2,)))                                                                 15       3     2
((5, (4, 4)), (9, (4,)), (20, (5,)))                                                       15       4     2
((1, (2, 2)), (15, (3,)), (24, (2,)))                                                      15       4     2
((4, (3, 3)), (21, (2,)), (26, (2,)))                                                      14       4     2
((6, (4,)), (19, (5,)), (26, (4,)))                                                        14       3     1
((25, (5,)),)                                                                              14       1     1
((15, (4,)), (18, (4,)), (24, (4,)))                                                       14       3     1
((1, (4,)), (14, (3,)), (15, (3,)), (23, (2,)))                                            14       4     1
((1, (4,)), (7, (3,)), (20, (3, 4)))                                                       14       4     2
((9, (2,)), (25, (1, 4)))                                                                  14       3     2
((2, (2,)), (23, (2, 5)))                                                                  14       3     2
((0, (4,)), (11, (3, 3)), (13, (4,)))                                                      14       4     2
((2, (4,)), (6, (5, 3)))                                                                   14       3     2
((0, (2,)), (5, (3,)), (6, (4,)), (23, (3,)))                                              13       4     1
((8, (4,)), (25, (4, 4)))                                                                  13       3     2
((0, (2, 2)), (11, (3, 2)))                                                                13       4     2
((11, (2,)), (23, (3, 2)), (26, (2,)))                                                     13       4     2
((9, (3,)), (19, (4, 1)))                                                                  13       3     2
((6, (4,)), (9, (4,)), (19, (4, 3)), (26, (4,)))                                           13       5     2
((2, (4,)), (4, (2,)), (6, (4,)), (27, (2,)))                                              13       4     1
((19, (4,)), (22, (4, 4)))                                                                 13       3     2
((5, (2,)), (8, (2,)), (14, (3,)), (19, (2,)), (21, (2,)))                                 13       5     1
((13, (5, 2)),)                                                                            13       2     2
((19, (5, 3)), (21, (4,)))                                                                 13       3     2
((0, (1,)), (22, (1,)), (23, (1,)), (26, (1,)))                                            13       4     1
((4, (2,)), (10, (2,)), (14, (3,)), (16, (2,)), (18, (2,)), (24, (2,)), (26, (2,)))        13       7     1
((2, (4,)), (6, (4,)), (24, (4, 3)))                                                       13       4     2
((4, (3,)), (5, (3,)), (9, (2, 4)))                                                        13       4     2
((1, (5,)), (26, (5,)))                                                                    13       2     1
((5, (1,)), (10, (1,)), (11, (1,)), (14, (1,)), (27, (1,)))                                13       5     1
((11, (3, 1)), (12, (4,)))                                                                 12       3     2
((18, (4, 3)), (23, (3,)))                                                                 12       3     2
((13, (1,)), (14, (2,)), (16, (1,)), (23, (1,)))                                           12       4     1
((24, (1, 2)), (26, (3,)))                                                                 12       3     2
((14, (5,)), (15, (4,)), (22, (3,)), (27, (4,)))                                           12       4     1
((9, (2,)), (17, (3,)), (21, (4,)), (25, (2,)))                                            12       4     1
((2, (2,)), (24, (1, 3)), (25, (2,)))                                                      12       4     2
((16, (5,)),)                                                                              12       1     1
((1, (5,)), (10, (4,)), (15, (5,)), (25, (4,)))                                            12       4     1
((9, (3,)), (17, (2,)), (21, (2,)), (22, (2,)))                                            12       4     1
((0, (3,)), (7, (2, 1)), (11, (2,)))                                                       12       4     2
((6, (3,)), (10, (4,)), (12, (3, 2)))                                                      12       4     2
((12, (3, 2)), (16, (1,)))                                                                 12       3     2
((0, (3,)), (1, (3,)), (3, (4, 3)), (19, (4,)))                                            12       5     2
((6, (2, 3, 3)), (9, (2,)))                                                                12       4     3
((5, (4, 4)), (11, (4, 4)))                                                                12       4     2
((22, (5,)),)                                                                              11       1     1
((4, (2,)), (17, (2,)), (20, (1,)))                                                        11       3     1
((1, (5, 1)),)                                                                             11       2     2
((3, (4,)), (10, (2,)), (12, (3,)), (20, (3,)), (24, (2,)))                                11       5     1
((1, (1, 1)),)                                                                             11       2     2
((6, (5,)), (10, (3,)), (14, (4,)))                                                        11       3     1
((1, (1,)), (6, (1,)), (9, (1,)), (12, (1,)))                                              11       4     1
((0, (1,)), (8, (4,)), (22, (2,)))                                                         11       3     1
((9, (3,)), (17, (1,)))                                                                    11       2     1
((11, (5,)), (12, (5,)), (25, (4,)))                                                       11       3     1
((4, (2,)), (13, (4, 4)), (23, (3,)))                                                      11       4     2
((8, (3,)), (10, (3,)), (19, (2, 3, 4)))                                                   11       5     3
((1, (4,)), (9, (5,)), (15, (5,)), (20, (5,)))                                             11       4     1
((2, (2, 4)), (18, (3, 2)))                                                                11       4     2
((1, (4, 3)), (7, (2,)), (19, (4,)), (20, (4,)))                                           11       5     2
((2, (5,)), (6, (4,)), (9, (4,)), (10, (4,)))                                              11       4     1
((6, (2,)), (15, (2,)), (16, (2,)), (23, (1,)))                                            11       4     1
((10, (2,)), (12, (3,)), (15, (2,)), (18, (2,)), (27, (2,)))                               11       5     1
((11, (3, 4, 3, 4)),)                                                                      11       4     4
((6, (2, 4)), (12, (2,)), (23, (3,)))                                                      11       4     2
((7, (2, 1)), (13, (2, 2)))                                                                11       4     2
((1, (3,)), (7, (2,)), (9, (3,)), (15, (5,)))                                              10       4     1
((4, (4,)), (9, (4,)), (13, (3,)), (21, (4,)), (26, (3,)), (27, (3,)))                     10       6     1
((3, (2,)), (7, (1,)), (23, (3,)))                                                         10       3     1
((20, (4, 2)), (27, (2, 2)))                                                               10       4     2
((2, (5,)), (6, (3,)), (13, (3,)))                                                         10       3     1
((0, (4,)), (3, (3,)), (16, (3,)), (24, (3, 3)))                                           10       5     2
((5, (2,)), (8, (2,)), (10, (2,)), (18, (2,)), (25, (3,)))                                 10       5     1
((0, (4,)), (10, (3,)), (14, (4,)), (18, (2,)), (22, (3,)), (27, (3,)))                    10       6     1
((3, (4,)), (16, (3,)), (21, (3,)), (23, (2,)))                                            10       4     1
((5, (3,)), (13, (4,)), (20, (4, 2)))                                                      10       4     2
((7, (2, 1)), (12, (2,)), (16, (2,)))                                                      10       4     2
((11, (2, 2, 3, 4)),)                                                                      10       4     4
((13, (4, 3)), (15, (5,)), (26, (2,)))                                                      9       4     2
((12, (5,)), (14, (4,)), (15, (4,)), (22, (3,)), (27, (4,)))                                9       5     1
((7, (3,)), (17, (3,)), (20, (3,)), (24, (2, 3)), (27, (3,)))                               9       6     2
((6, (3,)), (12, (4, 2)), (21, (4,)))                                                       9       4     2
((10, (3,)), (14, (3,)), (19, (4,)), (22, (2,)), (26, (3,)))                                9       5     1
((5, (2,)), (11, (2, 3, 2)), (12, (2,)))                                                    9       5     3
((1, (5, 4)), (2, (4,)))                                                                    9       3     2
((1, (2, 3)), (12, (4,)), (15, (3,)))                                                       9       4     2
((6, (3, 1)), (9, (3,)), (15, (3,)))                                                        9       4     2
((5, (2, 4)), (6, (2,)), (15, (2,)), (25, (2,)))                                            9       5     2
((3, (3,)), (8, (3,)), (14, (3,)), (16, (3,)), (22, (3,)), (25, (2, 3)))                    9       7     2
((5, (5, 4, 4)),)                                                                           9       3     3
((0, (5,)), (4, (5,)))                                                                      9       2     1
((11, (3, 3, 2, 4)),)                                                                       8       4     4
((14, (2, 4)), (15, (4,)), (22, (3,)))                                                      8       4     2
((9, (5, 3)), (22, (4,)), (27, (4,)))                                                       8       4     2
((3, (1,)), (13, (1,)), (15, (1,)), (17, (1,)))                                             8       4     1
((2, (3,)), (6, (4,)), (10, (3,)), (11, (4,)), (13, (3,)), (27, (3,)))                      8       6     1
((6, (2, 3)), (12, (3,)), (20, (4,)))                                                       8       4     2
((17, (5,)),)                                                                               8       1     1
((6, (2, 3)), (12, (2, 2)))                                                                 8       4     2
((2, (4,)), (10, (2,)), (16, (3,)), (19, (3, 4)))                                           8       5     2
((12, (4,)), (15, (3,)), (24, (4, 3)))                                                      8       4     2
((20, (4, 2, 3, 5)),)                                                                       8       4     4
((9, (3,)), (10, (3,)), (13, (3,)), (18, (2,)), (19, (3, 4)))                               8       6     2
((14, (3,)), (18, (2,)), (24, (2,)), (25, (1,)))                                            8       4     1
((11, (4, 3, 3)), (20, (4,)), (26, (3,)))                                                   8       5     3
((2, (5,)), (3, (4,)), (16, (4,)), (24, (4,)))                                              8       4     1
((20, (1,)), (21, (1,)), (24, (1,)))                                                        8       3     1
((11, (3, 2, 3, 4)),)                                                                       8       4     4
((18, (1,)), (19, (1,)), (25, (1, 4)))                                                      8       4     2
((14, (1, 3)), (18, (2,)))                                                                  8       3     2
((6, (5,)), (9, (5,)), (15, (5,)), (19, (5,)), (21, (5,)), (27, (5,)))                      8       6     1
((2, (5,)), (8, (4,)), (12, (3, 2)))                                                        8       4     2
((2, (3,)), (6, (3, 3)), (12, (3,)), (19, (4, 3)))                                          7       6     2
((4, (4,)), (7, (4,)), (14, (3,)), (26, (4,)))                                              7       4     1
((1, (3,)), (14, (4, 3)), (15, (4, 4)), (22, (3, 3)))                                       7       7     2
((7, (3, 1, 3)), (15, (5,)))                                                                7       4     3
((1, (5, 5, 2)),)                                                                           7       3     3
((4, (4,)), (10, (5,)), (15, (5,)), (19, (5,)))                                             7       4     1
((0, (4,)), (6, (5,)), (24, (4, 3)))                                                        7       4     2
((24, (1, 3, 1)),)                                                                          7       3     3
((1, (2,)), (12, (4, 2)), (15, (3,)))                                                       7       4     2
((14, (2,)), (17, (4,)), (24, (4, 3)))                                                      7       4     2
((11, (1, 3, 2)),)                                                                          7       3     3
((8, (3,)), (9, (5, 3)))                                                                    7       3     2
((24, (4, 3, 3, 3)),)                                                                       7       4     4
((0, (2,)), (8, (3,)), (17, (4,)), (22, (2,)), (23, (2,)))                                  7       5     1
((4, (2,)), (7, (2,)), (8, (2,)), (24, (2, 3)), (26, (2,)))                                 7       6     2
((18, (5,)),)                                                                               6       1     1
