                                                                                      support  length  time
((10, (2,)), (26, (2,)))                                                                  217       2     1
((10, (3,)), (21, (4,)))                                                                  217       2     1
((6, (4,)), (13, (3,)))                                                                   215       2     1
((20, (3,)), (27, (3,)))                                                                  213       2     1
((0, (3,)), (11, (2,)))                                                                   212       2     1
((14, (4,)), (27, (3,)))                                                                  212       2     1
((26, (4,)),)                                                                             211       1     1
((2, (4,)), (13, (3,)))                                                                   210       2     1
((6, (4,)), (27, (3,)))                                                                   210       2     1
((7, (3,)), (17, (4,)))                                                                   210       2     1
((25, (4,)),)                                                                             209       1     1
((20, (3,)), (27, (2,)))                                                                  209       2     1
((4, (3,)), (26, (2,)))                                                                   209       2     1
((14, (4,)), (26, (3,)))                                                                  208       2     1
((2, (3,)), (10, (3,)))                                                                   207       2     1
((24, (2, 3)),)                                                                           207       2     2
((2, (3,)), (4, (3,)))                                                                    206       2     1
((22, (4,)),)                                                                             205       1     1
((14, (4,)), (21, (4,)))                                                                  205       2     1
((8, (3,)), (9, (4,)))                                                                    203       2     1
((2, (4,)), (6, (4,)))                                                                    202       2     1
((14, (3,)), (23, (2,)))                                                                  201       2     1
((8, (3,)), (23, (2,)))                                                                   198       2     1
((21, (4,)), (26, (3,)))                                                                  197       2     1
((1, (4,)), (16, (3,)))                                                                   194       2     1
((24, (4,)),)                                                                             194       1     1
((21, (3,)), (23, (2,)))                                                                  190       2     1
((0, (3,)), (3, (4,)))                                                                    189       2     1
((20, (5,)),)                                                                             188       1     1
((15, (5,)),)                                                                             188       1     1
((0, (4,)), (17, (3,)))                                                                   188       2     1
((20, (4,)), (24, (2,)))                                                                  185       2     1
((19, (4, 3)),)                                                                           184       2     2
((13, (4, 3)),)                                                                           182       2     2
((26, (1,)),)                                                                             181       1     1
((6, (3, 3)),)                                                                            181       2     2
((19, (3, 4)),)                                                                           181       2     2
((5, (4, 3)),)                                                                            181       2     2
((12, (4,)), (27, (4,)))                                                                  180       2     1
((3, (4,)), (14, (4,)))                                                                   179       2     1
((2, (2,)), (7, (2,)))                                                                    178       2     1
((4, (2,)), (27, (3,)))                                                                   177       2     1
((1, (4,)), (19, (4,)))                                                                   177       2     1
((1, (4,)), (2, (4,)))                                                                    176       2     1
((2, (4,)), (6, (3,)))                                                                    176       2     1
((7, (1,)),)                                                                              175       1     1
((13, (2,)), (22, (2,)))                                                                  174       2     1
((14, (3,)), (22, (3,)), (27, (3,)))                                                      174       3     1
((13, (4,)), (20, (4,)))                                                                  173       2     1
((16, (4,)),)                                                                             173       1     1
((12, (4,)), (21, (4,)))                                                                  173       2     1
((7, (3,)), (20, (3,)))                                                                   172       2     1
((6, (3,)), (7, (2,)), (13, (3,)))                                                        172       3     1
((2, (4,)), (18, (2,)))                                                                   172       2     1
((18, (1,)),)                                                                             171       1     1
((10, (3,)), (25, (2,)))                                                                  168       2     1
((11, (3, 3)),)                                                                           168       2     2
((15, (2,)),)                                                                             168       1     1
((1, (2,)), (26, (2,)))                                                                   167       2     1
((11, (3, 2)),)                                                                           166       2     2
((1, (2,)), (24, (2,)))                                                                   165       2     1
((0, (4,)), (13, (4,)))                                                                   165       2     1
((8, (3,)), (9, (3,)), (13, (3,)))                                                        162       3     1
((0, (4,)), (3, (4,)))                                                                    161       2     1
((19, (3, 3)),)                                                                           161       2     2
((0, (4,)), (17, (4,)))                                                                   157       2     1
((3, (2,)), (16, (2,)))                                                                   157       2     1
((18, (2,)), (19, (2,)))                                                                  156       2     1
((7, (2,)), (12, (2,)))                                                                   156       2     1
((11, (4,)), (20, (4,)))                                                                  154       2     1
((2, (3,)), (25, (2,)))                                                                   154       2     1
