                                                                                      support  length  time
((6, (4,)), (9, (4,)))                                                                     36       2     1
((24, (3,)),)                                                                              36       1     1
((10, (3,)), (25, (3,)))                                                                   36       2     1
((5, (4,)),)                                                                               35       1     1
((1, (3,)), (4, (2,)), (26, (2, 3)))                                                       35       4     2
((8, (3,)), (9, (3,)), (13, (3,)))                                                         35       3     1
((10, (3,)), (21, (4,)))                                                                   35       2     1
((15, (4,)), (21, (4,)))                                                                   35       2     1
((21, (3,)), (22, (2,)))                                                                   35       2     1
((14, (4,)), (15, (4,)), (22, (3,)))                                                       35       3     1
((17, (3,)), (25, (2,)))                                                                   35       2     1
((14, (3,)), (22, (3,)))                                                                   35       2     1
((7, (2,)), (16, (3,)), (19, (3, 3)))                                                      35       4     2
((19, (5,)),)                                                                              35       1     1
((7, (2,)), (20, (3, 4)), (27, (3,)))                                                      34       4     2
((9, (4,)), (17, (3,)), (24, (2,)))                                                        34       3     1
((14, (3,)), (22, (3,)), (27, (3,)))                                                       34       3     1
((1, (4,)), (16, (3,)))                                                                    34       2     1
((7, (1,)),)                                                                               34       1     1
((1, (3,)), (15, (3,)), (18, (2,)))                                                        34       3     1
((8, (3,)), (25, (3,)))                                                                    33       2     1
((11, (2, 2)),)                                                                            33       2     2
((21, (4,)), (23, (3,)))                                                                   33       2     1
((6, (5,)),)                                                                               33       1     1
((14, (1,)),)                                                                              33       1     1
((24, (5,)),)                                                                              33       1     1
((12, (3, 2)),)                                                                            33       2     2
((4, (2,)), (20, (3,)), (26, (2,)), (27, (2,)))                                            32       4     1
((12, (3, 3)), (20, (3, 3)))                                                               32       4     2
((19, (3,)),)                                                                              32       1     1
((17, (4,)), (23, (4,)))                                                                   31       2     1
((2, (3, 4)), (6, (3,)), (27, (2,)))                                                       31       4     2
((9, (4,)), (10, (3,)), (17, (3,)), (25, (3,)))                                            31       4     1
((2, (2,)), (25, (2,)))                                                                    31       2     1
((7, (3,)), (17, (3,)))                                                                    31       2     1
((21, (1,)),)                                                                              31       1     1
((1, (3,)), (15, (3,)))                                                                    30       2     1
((7, (3,)), (9, (4,)), (17, (4,)))                                                         30       3     1
((11, (3,)),)                                                                              30       1     1
((8, (4,)), (26, (3,)))                                                                    30       2     1
((6, (1,)),)                                                                               30       1     1
((27, (4,)),)                                                                              30       1     1
((13, (1,)),)                                                                              30       1     1
((22, (3,)), (27, (3,)))                                                                   30       2     1
((3, (3,)), (5, (3,)))                                                                     30       2     1
((17, (2,)), (24, (1,)))                                                                   30       2     1
((10, (2,)), (18, (2,)), (24, (2, 3)))                                                     30       4     2
((6, (2,)), (9, (2,)))                                                                     29       2     1
((6, (4,)), (12, (4,)), (27, (4,)))                                                        29       3     1
((8, (4,)), (25, (3,)))                                                                    29       2     1
((4, (4,)), (10, (4,)))                                                                    29       2     1
((12, (3,)), (20, (3,)))                                                                   29       2     1
((8, (3,)), (21, (3,)), (22, (2,)), (23, (2,)))                                            29       4     1
((27, (1,)),)                                                                              29       1     1
((11, (2, 4)),)                                                                            29       2     2
((14, (3,)), (18, (2, 3)), (25, (2,)))                                                     29       4     2
((9, (3,)),)                                                                               29       1     1
((3, (3, 2)), (16, (2, 2)))                                                                28       4     2
((9, (3,)), (13, (3,)))                                                                    28       2     1
((3, (1,)),)                                                                               28       1     1
((24, (1,)),)                                                                              28       1     1
((1, (5,)),)                                                                               28       1     1
((1, (2,)), (26, (2,)))                                                                    28       2     1
((18, (2, 3)), (23, (3,)), (26, (3,)))                                                     27       4     2
((8, (3,)), (16, (2,)), (23, (2,)))                                                        27       3     1
((1, (4,)), (2, (4,)), (12, (4,)), (27, (4,)))                                             27       4     1
((19, (1,)),)                                                                              27       1     1
((1, (3, 4)), (15, (3,)), (16, (2,)))                                                      27       4     2
((0, (3,)), (3, (4,)))                                                                     27       2     1
((4, (4,)), (23, (4,)))                                                                    27       2     1
((3, (3,)), (16, (2,)), (27, (3,)))                                                        27       3     1
((3, (3,)), (16, (3,)), (25, (3,)))                                                        27       3     1
((3, (5,)), (18, (4,)))                                                                    27       2     1
((16, (3,)),)                                                                              27       1     1
((4, (5,)),)                                                                               27       1     1
((14, (5,)),)                                                                              27       1     1
((25, (2,)), (27, (2,)))                                                                   27       2     1
((11, (3, 4)),)                                                                            27       2     2
((14, (4,)), (22, (3,)))                                                                   27       2     1
((1, (4, 3)), (19, (4,)))                                                                  27       3     2
((7, (3,)), (17, (4,)))                                                                    27       2     1
((23, (5,)),)                                                                              26       1     1
((21, (2,)), (22, (2,)))                                                                   26       2     1
((3, (3,)), (5, (3,)), (9, (3,)), (17, (3,)))                                              26       4     1
((21, (4,)), (25, (3,)))                                                                   26       2     1
((9, (4,)), (17, (3,)), (21, (4,)), (23, (3,)))                                            26       4     1
((2, (1,)), (21, (2,)))                                                                    26       2     1
((11, (2, 3, 2)),)                                                                         26       3     3
((18, (3, 1)),)                                                                            26       2     2
((2, (2,)), (7, (2,)))                                                                     26       2     1
((19, (3, 3)),)                                                                            26       2     2
((8, (4,)), (19, (4,)))                                                                    26       2     1
((14, (3,)), (18, (2,)))                                                                   26       2     1
((18, (2,)), (19, (2,)))                                                                   25       2     1
((13, (2,)), (22, (2,)))                                                                   25       2     1
((14, (3,)), (24, (2,)))                                                                   25       2     1
((19, (4, 3)),)                                                                            25       2     2
((5, (1,)),)                                                                               25       1     1
((10, (5,)),)                                                                              25       1     1
((8, (2,)), (19, (2,)))                                                                    25       2     1
((0, (5,)),)                                                                               25       1     1
((0, (1,)),)                                                                               25       1     1
((5, (5,)),)                                                                               25       1     1
((9, (4,)), (21, (4,)), (26, (3,)))                                                        24       3     1
((1, (4,)), (2, (4,)))                                                                     24       2     1
((0, (4,)), (17, (3,)))                                                                    24       2     1
((3, (5,)),)                                                                               24       1     1
((9, (1,)),)                                                                               24       1     1
((0, (4,)), (17, (4,)))                                                                    24       2     1
((20, (1,)),)                                                                              24       1     1
((1, (4,)), (2, (3,)))                                                                     24       2     1
((13, (5,)),)                                                                              24       1     1
((18, (3,)), (21, (3,)))                                                                   24       2     1
((21, (3,)), (23, (4,)))                                                                   24       2     1
((24, (3, 3)),)                                                                            24       2     2
((4, (2,)), (26, (1,)))                                                                    24       2     1
((7, (3,)), (9, (4,)), (17, (3, 4)))                                                       23       4     2
((26, (5,)),)                                                                              23       1     1
((0, (4,)), (3, (4,)), (8, (4,)), (25, (3,)))                                              23       4     1
((10, (2,)), (26, (2,)))                                                                   23       2     1
((4, (3, 3)), (18, (2,)), (26, (3,)))                                                      23       4     2
((8, (4,)), (26, (4,)))                                                                    23       2     1
((21, (4,)), (26, (4,)))                                                                   23       2     1
((0, (3,)), (3, (3,)), (5, (4, 3)))                                                        23       4     2
((12, (4,)), (22, (4, 2)), (27, (4,)))                                                     23       4     2
((8, (3,)), (23, (2,)))                                                                    23       2     1
((8, (3,)), (23, (3,)), (26, (3,)))                                                        23       3     1
((7, (2,)), (16, (3,)), (17, (4,)), (23, (3,)))                                            22       4     1
((2, (5,)), (8, (5,)))                                                                     22       2     1
((1, (4,)), (19, (4,)))                                                                    22       2     1
((20, (4,)), (24, (2,)))                                                                   22       2     1
((4, (3,)), (19, (3, 3)), (26, (2,)))                                                      22       4     2
((2, (3, 3)), (3, (3,)), (16, (2,)))                                                       22       4     2
((0, (2,)), (8, (2,)), (9, (2,)))                                                          22       3     1
((8, (3,)), (19, (2,)))                                                                    22       2     1
((9, (3,)), (15, (3,)), (25, (2,)))                                                        22       3     1
((8, (1,)),)                                                                               22       1     1
((6, (4,)), (13, (3,)))                                                                    21       2     1
((6, (2, 3, 3)),)                                                                          21       3     3
((12, (4,)), (27, (4,)))                                                                   21       2     1
((4, (2,)), (17, (2,)))                                                                    21       2     1
((8, (4,)), (9, (3,)), (17, (3,)), (25, (3,)))                                             21       4     1
((16, (3,)), (18, (3,)), (21, (3,)), (23, (3,)))                                           21       4     1
((12, (4,)), (21, (4,)))                                                                   21       2     1
((3, (4,)), (16, (2,)))                                                                    21       2     1
((9, (3,)), (17, (4,)))                                                                    21       2     1
((10, (3,)), (18, (2,)))                                                                   21       2     1
((4, (4,)), (26, (2,)))                                                                    21       2     1
((11, (3, 2)),)                                                                            21       2     2
((21, (2,)), (23, (3,)))                                                                   21       2     1
((3, (1,)), (10, (1,)), (15, (2,)), (27, (1,)))                                            21       4     1
((0, (2,)), (23, (2,)))                                                                    21       2     1
((6, (2,)), (15, (2,)))                                                                    20       2     1
((21, (3,)), (23, (2,)))                                                                   20       2     1
((8, (2,)), (20, (2,)))                                                                    20       2     1
((4, (3,)), (26, (2,)))                                                                    20       2     1
((12, (3,)), (19, (3, 3)))                                                                 20       3     2
((4, (4,)), (25, (4,)))                                                                    20       2     1
((14, (2,)), (21, (3,)), (22, (2,)))                                                       20       3     1
((6, (4,)), (26, (4,)))                                                                    20       2     1
((11, (4,)), (20, (4,)))                                                                   20       2     1
((4, (3,)), (23, (2,)), (26, (2,)))                                                        20       3     1
((2, (3,)), (10, (2,)), (27, (2,)))                                                        20       3     1
((23, (2, 5)),)                                                                            20       2     2
((14, (4,)), (27, (3,)))                                                                   20       2     1
((2, (4,)), (4, (4,)), (10, (3,)))                                                         20       3     1
((9, (4,)), (18, (2,)), (26, (2,)))                                                        20       3     1
((8, (3,)), (9, (4,)), (17, (4,)))                                                         20       3     1
((10, (4,)), (16, (4,)), (17, (4,)), (21, (4,)))                                           19       4     1
((0, (3,)), (3, (4,)), (20, (4,)))                                                         19       3     1
((7, (3,)), (13, (4, 3)), (15, (5,)))                                                      19       4     2
((9, (3,)), (15, (3,)))                                                                    19       2     1
((1, (3,)), (14, (3,)), (15, (4,)), (22, (3,)))                                            19       4     1
((5, (4, 3)), (6, (4,)), (10, (4,)))                                                       19       4     2
((11, (5,)),)                                                                              19       1     1
((4, (3, 3)), (10, (2,)), (26, (2,)))                                                      19       4     2
((12, (3,)), (14, (3,)), (23, (3,)))                                                       19       3     1
((1, (3,)), (10, (3,)), (16, (3,)), (21, (4,)))                                            19       4     1
((6, (3,)), (12, (3,)), (19, (4, 3)))                                                      19       4     2
((6, (4,)), (9, (3,)), (17, (4,)))                                                         19       3     1
((20, (4,)), (27, (2,)))                                                                   19       2     1
((12, (2,)), (16, (2,)))                                                                   19       2     1
((8, (3,)), (13, (3,)), (23, (3,)), (25, (2,)))                                            19       4     1
((4, (1, 1)),)                                                                             18       2     2
((6, (3, 2)), (9, (4,)))                                                                   18       3     2
((3, (4,)), (9, (4,)), (13, (3,)), (18, (3,)))                                             18       4     1
((18, (2,)), (21, (2,)))                                                                   18       2     1
((0, (3,)), (23, (3,)), (26, (2,)))                                                        18       3     1
((12, (3,)), (14, (3,)))                                                                   18       2     1
((2, (3,)), (4, (3,)))                                                                     18       2     1
((2, (2,)), (21, (3, 4)), (23, (3,)))                                                      18       4     2
((8, (4,)), (21, (3,)), (23, (3,)), (26, (3,)))                                            18       4     1
((7, (4,)), (18, (4,)))                                                                    18       2     1
((17, (1,)),)                                                                              18       1     1
((10, (2,)), (14, (3,)), (18, (2,)))                                                       18       3     1
((20, (2,)), (27, (2,)))                                                                   18       2     1
((2, (2,)), (6, (3, 3)))                                                                   18       3     2
((4, (2,)), (26, (3,)))                                                                    18       2     1
((12, (3, 2)), (16, (3,)), (21, (3,)))                                                     18       4     2
((14, (2,)), (21, (2,)), (22, (2,)))                                                       18       3     1
((16, (1,)), (24, (1,)))                                                                   18       2     1
((6, (2,)), (16, (2,)))                                                                    18       2     1
((0, (3,)), (5, (3,)), (8, (3,)), (23, (3,)))                                              18       4     1
((10, (2,)), (24, (2,)))                                                                   18       2     1
((4, (2,)), (10, (2,)), (24, (2,)), (26, (2,)))                                            18       4     1
((8, (5,)), (16, (4,)))                                                                    17       2     1
((10, (3, 3)), (14, (3, 3)), (22, (3, 3)), (25, (3, 3)))                                   17       8     2
((14, (3,)), (23, (2,)))                                                                   17       2     1
((22, (2,)), (27, (3,)))                                                                   17       2     1
((2, (3,)), (12, (4,)))                                                                    17       2     1
((2, (2,)), (3, (2,)), (27, (2,)))                                                         17       3     1
((9, (4,)), (13, (3,)))                                                                    17       2     1
((9, (3,)), (17, (2,)))                                                                    17       2     1
((6, (4,)), (16, (3,)), (17, (3,)))                                                        17       3     1
((5, (3,)), (7, (2,)), (13, (3,)), (25, (3,)))                                             17       4     1
((12, (3,)), (14, (4,)), (20, (4,)), (22, (3,)), (27, (3,)))                               17       5     1
((2, (3,)), (10, (3,)), (27, (2,)))                                                        17       3     1
((3, (2,)), (17, (2,)), (24, (2,)))                                                        17       3     1
((9, (3,)), (17, (4,)), (24, (2,)))                                                        17       3     1
((4, (2,)), (25, (3,)), (27, (2,)))                                                        17       3     1
((8, (3,)), (19, (3,)))                                                                    17       2     1
((0, (4,)), (13, (4,)))                                                                    17       2     1
((0, (3,)), (3, (4,)), (8, (4,)), (25, (3,)))                                              17       4     1
((7, (3,)), (17, (3,)), (24, (2, 3)))                                                      17       4     2
((1, (3,)), (15, (4,)))                                                                    17       2     1
((2, (3,)), (6, (3,)))                                                                     17       2     1
((20, (3,)), (27, (2,)))                                                                   17       2     1
((14, (4,)), (26, (3,)))                                                                   17       2     1
((5, (2,)), (12, (2,)))                                                                    17       2     1
((10, (1,)), (22, (1,)), (27, (1,)))                                                       17       3     1
((5, (3,)), (10, (3,)), (18, (2,)))                                                        17       3     1
((8, (2,)), (19, (2,)), (25, (3,)))                                                        17       3     1
((2, (2,)), (4, (2,)))                                                                     17       2     1
((1, (5, 2)),)                                                                             17       2     2
((6, (4,)), (27, (3,)))                                                                    17       2     1
((8, (4,)), (23, (2,)), (25, (3,)))                                                        16       3     1
((7, (3,)), (11, (2, 2)), (17, (3,)))                                                      16       4     2
((1, (3,)), (3, (3,)), (15, (3,)), (24, (2,)))                                             16       4     1
((3, (3,)), (19, (4, 3)), (24, (2,)))                                                      16       4     2
((0, (3,)), (8, (3,)), (23, (4,)))                                                         16       3     1
((2, (3,)), (25, (2,)))                                                                    16       2     1
((4, (3,)), (13, (3, 2)), (26, (3,)))                                                      16       4     2
((21, (4,)), (26, (2,)))                                                                   16       2     1
((2, (4,)), (18, (2,)))                                                                    16       2     1
((1, (2,)), (24, (2,)))                                                                    16       2     1
((14, (4,)), (21, (3,)), (22, (2,)))                                                       16       3     1
((16, (4,)), (17, (4,)))                                                                   16       2     1
((5, (2,)), (16, (2,)))                                                                    16       2     1
((4, (4,)), (10, (4,)), (19, (4, 3)))                                                      16       4     2
((3, (3,)), (15, (3,)))                                                                    16       2     1
((10, (1,)), (27, (1,)))                                                                   16       2     1
((5, (3, 5)),)                                                                             16       2     2
((7, (3,)), (16, (3,)))                                                                    16       2     1
((10, (3,)), (14, (3,)), (21, (3,)), (22, (3,)))                                           16       4     1
((8, (4,)), (9, (4,)), (13, (3,)), (19, (4,)))                                             16       4     1
((7, (4,)), (16, (4,)))                                                                    16       2     1
((12, (3,)), (14, (3,)), (16, (3,)), (17, (3,)))                                           16       4     1
((18, (3,)), (25, (3,)))                                                                   16       2     1
((0, (4,)), (15, (3,)))                                                                    16       2     1
((19, (3, 4)),)                                                                            16       2     2
((0, (2,)), (1, (2,)))                                                                     16       2     1
((14, (5,)), (22, (4,)))                                                                   16       2     1
((0, (2,)), (15, (3,)))                                                                    16       2     1
((2, (3,)), (12, (4,)), (13, (3,)))                                                        16       3     1
((19, (2,)), (26, (1,)))                                                                   16       2     1
((2, (1,)), (6, (2,)))                                                                     16       2     1
((0, (3,)), (3, (2,)))                                                                     15       2     1
((11, (4, 3)), (20, (4,)))                                                                 15       3     2
((1, (4,)), (11, (4,)))                                                                    15       2     1
((8, (4,)), (22, (2,)))                                                                    15       2     1
((7, (2,)), (12, (3,)), (13, (2,)))                                                        15       3     1
((6, (3,)), (7, (2,)), (13, (3,)))                                                         15       3     1
((8, (4,)), (18, (3,)), (25, (3,)))                                                        15       3     1
((1, (3,)), (4, (2,)), (15, (4,)))                                                         15       3     1
((5, (4, 2)),)                                                                             15       2     2
((10, (2,)), (14, (3,)), (21, (4,)), (22, (3,)))                                           15       4     1
((5, (4, 3, 4)), (10, (3,)))                                                               15       4     3
((2, (2,)), (27, (2,)))                                                                    15       2     1
((14, (4,)), (21, (3,)), (22, (2,)), (27, (3,)))                                           15       4     1
((4, (4,)), (15, (4,)), (26, (3,)))                                                        15       3     1
((21, (2,)), (23, (2,)), (26, (2,)))                                                       15       3     1
((14, (4,)), (15, (3,)), (22, (3,)))                                                       15       3     1
((14, (4,)), (22, (4,)), (27, (4,)))                                                       15       3     1
((0, (2,)), (1, (3,)), (27, (2,)))                                                         15       3     1
((20, (3,)), (27, (3,)))                                                                   15       2     1
((7, (2,)), (16, (3,)))                                                                    15       2     1
((1, (3,)), (7, (2,)), (15, (3,)), (20, (4,)))                                             15       4     1
((8, (3,)), (13, (2,)), (23, (2,)), (27, (2,)))                                            15       4     1
((16, (1,)), (17, (2,)))                                                                   15       2     1
((11, (3, 1)),)                                                                            15       2     2
((14, (3,)), (18, (2, 3)), (22, (3,)), (25, (2,)))                                         15       5     2
((21, (4,)), (26, (3,)))                                                                   15       2     1
((2, (4,)), (4, (2,)), (13, (3,)), (27, (3,)))                                             15       4     1
((4, (3,)), (13, (3,)))                                                                    15       2     1
((6, (4,)), (10, (4,)))                                                                    14       2     1
((7, (3,)), (20, (3,)))                                                                    14       2     1
((11, (4,)), (20, (5,)))                                                                   14       2     1
((9, (2,)), (24, (2, 3, 3)))                                                               14       4     3
((4, (2,)), (26, (3,)), (27, (2,)))                                                        14       3     1
((2, (2,)), (23, (2, 5)))                                                                  14       3     2
((18, (1, 3)), (25, (3,)))                                                                 14       3     2
((4, (3, 3)), (13, (4,)))                                                                  14       3     2
((10, (3,)), (25, (2,)))                                                                   14       2     1
((12, (4,)), (18, (3,)), (21, (3,)), (26, (3,)))                                           14       4     1
((2, (3,)), (12, (3,)), (13, (3,)))                                                        14       3     1
((13, (4, 3)), (23, (4,)), (25, (4,)))                                                     14       4     2
((11, (4,)), (16, (3,)), (20, (5,)))                                                       14       3     1
((15, (1,)),)                                                                              14       1     1
((0, (5, 3)),)                                                                             14       2     2
((0, (2,)), (3, (2,)), (9, (2,)), (20, (2,)))                                              14       4     1
((5, (4, 5)),)                                                                             14       2     2
((19, (2,)), (20, (4,)))                                                                   14       2     1
((9, (5,)), (15, (5,)))                                                                    14       2     1
((13, (4,)), (20, (4,)))                                                                   14       2     1
