                                                      support  length  time
((4, (4, 1, 1, 1)),)                                        5       4     4
((1, (3,)), (2, (3,)), (3, (3,)))                           5       3     1
((0, (4,)),)                                                4       1     1
((0, (4,)), (1, (4,)), (3, (5,)))                           4       3     1
((0, (4,)), (1, (3,)), (2, (5,)), (3, (4,)))                4       4     1
((4, (3, 1, 2, 2, 2)),)                                     4       5     5
((2, (1,)),)                                                4       1     1
((1, (1,)), (2, (2,)), (3, (2,)))                           4       3     1
((0, (5,)), (1, (3,)), (2, (5,)))                           4       3     1
((4, (2, 3, 2, 2)),)                                        3       4     4
((4, (2, 2, 4, 3, 1)),)                                     3       5     5
((4, (1, 1, 3, 3, 1, 1, 2)),)                               3       7     7
((4, (2, 1, 2, 3, 3, 1, 1, 2)),)                            3       8     8
((1, (5,)),)                                                2       1     1
((4, (4, 1, 1, 3, 1, 1)),)                                  2       6     6
